Date,Country,Product,Price_EUR_per_kg
2022-01-01,Netherlands,Whole Milk,0.8
2022-01-01,Netherlands,Skim Milk,0.64
2022-01-01,Netherlands,Cheese,1.19
2022-01-01,Netherlands,Butter,1.51
2022-01-01,Germany,Whole Milk,0.68
2022-01-01,Germany,Skim Milk,0.66
2022-01-01,Germany,Cheese,1.12
2022-01-01,Germany,Butter,1.57
2022-01-01,France,Whole Milk,0.67
2022-01-01,France,Skim Milk,0.68
2022-01-01,France,Cheese,1.29
2022-01-01,France,Butter,1.49
2022-01-01,Poland,Whole Milk,0.73
2022-01-01,Poland,Skim Milk,0.58
2022-01-01,Poland,Cheese,1.25
2022-01-01,Poland,Butter,1.5
2022-01-01,Italy,Whole Milk,0.77
2022-01-01,Italy,Skim Milk,0.69
2022-01-01,Italy,Cheese,1.26
2022-01-01,Italy,Butter,1.48
2022-02-01,Netherlands,Whole Milk,0.76
2022-02-01,Netherlands,Skim Milk,0.58
2022-02-01,Netherlands,Cheese,1.21
2022-02-01,Netherlands,Butter,1.49
2022-02-01,Germany,Whole Milk,0.77
2022-02-01,Germany,Skim Milk,0.65
2022-02-01,Germany,Cheese,1.17
2022-02-01,Germany,Butter,1.39
2022-02-01,France,Whole Milk,0.85
2022-02-01,France,Skim Milk,0.65
2022-02-01,France,Cheese,1.22
2022-02-01,France,Butter,1.46
2022-02-01,Poland,Whole Milk,0.68
2022-02-01,Poland,Skim Milk,0.71
2022-02-01,Poland,Cheese,1.22
2022-02-01,Poland,Butter,1.47
2022-02-01,Italy,Whole Milk,0.81
2022-02-01,Italy,Skim Milk,0.61
2022-02-01,Italy,Cheese,1.14
2022-02-01,Italy,Butter,1.37
2022-03-01,Netherlands,Whole Milk,0.74
2022-03-01,Netherlands,Skim Milk,0.63
2022-03-01,Netherlands,Cheese,1.31
2022-03-01,Netherlands,Butter,1.5
2022-03-01,Germany,Whole Milk,0.73
2022-03-01,Germany,Skim Milk,0.61
2022-03-01,Germany,Cheese,1.15
2022-03-01,Germany,Butter,1.51
2022-03-01,France,Whole Milk,0.69
2022-03-01,France,Skim Milk,0.66
2022-03-01,France,Cheese,1.15
2022-03-01,France,Butter,1.49
2022-03-01,Poland,Whole Milk,0.77
2022-03-01,Poland,Skim Milk,0.66
2022-03-01,Poland,Cheese,1.29
2022-03-01,Poland,Butter,1.41
2022-03-01,Italy,Whole Milk,0.71
2022-03-01,Italy,Skim Milk,0.69
2022-03-01,Italy,Cheese,1.24
2022-03-01,Italy,Butter,1.59
2022-04-01,Netherlands,Whole Milk,0.78
2022-04-01,Netherlands,Skim Milk,0.7
2022-04-01,Netherlands,Cheese,1.24
2022-04-01,Netherlands,Butter,1.51
2022-04-01,Germany,Whole Milk,0.74
2022-04-01,Germany,Skim Milk,0.64
2022-04-01,Germany,Cheese,1.12
2022-04-01,Germany,Butter,1.46
2022-04-01,France,Whole Milk,0.69
2022-04-01,France,Skim Milk,0.67
2022-04-01,France,Cheese,1.18
2022-04-01,France,Butter,1.53
2022-04-01,Poland,Whole Milk,0.74
2022-04-01,Poland,Skim Milk,0.66
2022-04-01,Poland,Cheese,1.22
2022-04-01,Poland,Butter,1.53
2022-04-01,Italy,Whole Milk,0.7
2022-04-01,Italy,Skim Milk,0.6
2022-04-01,Italy,Cheese,1.2
2022-04-01,Italy,Butter,1.56
2022-05-01,Netherlands,Whole Milk,0.8
2022-05-01,Netherlands,Skim Milk,0.65
2022-05-01,Netherlands,Cheese,1.22
2022-05-01,Netherlands,Butter,1.49
2022-05-01,Germany,Whole Milk,0.84
2022-05-01,Germany,Skim Milk,0.63
2022-05-01,Germany,Cheese,1.24
2022-05-01,Germany,Butter,1.47
2022-05-01,France,Whole Milk,0.79
2022-05-01,France,Skim Milk,0.6
2022-05-01,France,Cheese,1.18
2022-05-01,France,Butter,1.49
2022-05-01,Poland,Whole Milk,0.77
2022-05-01,Poland,Skim Milk,0.69
2022-05-01,Poland,Cheese,1.14
2022-05-01,Poland,Butter,1.47
2022-05-01,Italy,Whole Milk,0.79
2022-05-01,Italy,Skim Milk,0.66
2022-05-01,Italy,Cheese,1.33
2022-05-01,Italy,Butter,1.45
2022-06-01,Netherlands,Whole Milk,0.81
2022-06-01,Netherlands,Skim Milk,0.73
2022-06-01,Netherlands,Cheese,1.22
2022-06-01,Netherlands,Butter,1.53
2022-06-01,Germany,Whole Milk,0.76
2022-06-01,Germany,Skim Milk,0.66
2022-06-01,Germany,Cheese,1.19
2022-06-01,Germany,Butter,1.46
2022-06-01,France,Whole Milk,0.77
