Date,Country,Production_tons,Import_tons,Export_tons,Consumption_tons,Net_Supply
2022-01-01,Netherlands,80111,5594,19495,68109,66210
2022-01-01,Germany,125072,15807,26734,113223,114145
2022-01-01,France,59248,19226,16465,59814,62009
2022-01-01,Poland,125868,14557,5585,136733,134840
2022-01-01,Italy,82124,20425,16793,89600,85756
2022-02-01,Netherlands,98426,18272,23893,92689,92805
2022-02-01,Germany,82220,14440,7123,92610,89537
2022-02-01,France,124643,24895,12798,133808,136740
2022-02-01,Poland,82684,24474,27266,76243,79892
2022-02-01,Italy,92831,25328,12693,103481,105466
2022-03-01,Netherlands,57019,13300,27791,40342,42528
2022-03-01,Germany,138282,13880,27907,121703,124255
2022-03-01,France,143370,24015,29144,136940,138241
2022-03-01,Poland,59544,25814,23764,59169,61594
2022-03-01,Italy,90006,8088,26794,69041,71300
2022-04-01,Netherlands,96567,9369,18310,87183,87626
2022-04-01,Germany,109771,11940,9844,110053,111867
2022-04-01,France,76388,9881,18138,67674,68131
2022-04-01,Poland,135078,17663,8671,141263,144070
2022-04-01,Italy,106231,29721,29734,102826,106218
2022-05-01,Netherlands,106414,18255,23873,101396,100796
2022-05-01,Germany,95420,5076,12287,85880,88209
2022-05-01,France,132458,21067,14336,143763,139189
2022-05-01,Poland,133100,18896,21567,129373,130429
2022-05-01,Italy,53943,22957,17442,56956,59458
2022-06-01,Netherlands,50665,9186,13275,49229,46576
2022-06-01,Germany,140550,12447,19311,134564,133686
2022-06-01,France,63853,19032,5833,79461,77052
2022-06-01,Poland,121321,18669,23036,118367,116954
2022-06-01,Italy,120226,6835,28290,101688,98771
2022-07-01,Netherlands,115212,12820,5103,124556,122929
2022-07-01,Germany,137262,25470,17508,140323,145224
2022-07-01,France,78224,26069,18885,86441,85408
2022-07-01,Poland,132344,7074,24273,119698,115145
2022-07-01,Italy,132496,22029,20584,130510,133941
2022-08-01,Netherlands,116228,25134,19886,123307,121476
2022-08-01,Germany,107574,16092,22718,97435,100948
2022-08-01,France,76944,23010,19412,81874,80542
2022-08-01,Poland,105031,24770,8461,119285,121340
2022-08-01,Italy,94180,14902,12372,93135,96710
2022-09-01,Netherlands,50120,7611,13425,46456,44306
2022-09-01,Germany,131467,14186,14237,133191,131416
2022-09-01,France,80188,28732,25104,83847,83816
2022-09-01,Poland,135148,8620,5753,141255,138015
2022-09-01,Italy,146708,16869,6352,159306,157225
2022-10-01,Netherlands,116412,11820,11941,113509,116291
2022-10-01,Germany,138904,18227,27912,124726,129219
2022-10-01,France,130793,22725,21700,135452,131818
2022-10-01,Poland,73425,7475,26955,54689,53945
2022-10-01,Italy,56531,28788,14115,67286,71204
2022-11-01,Netherlands,50996,7601,27091,34539,31506
2022-11-01,Germany,128459,27052,6657,145792,148854
2022-11-01,France,93610,12169,18228,84291,87551
2022-11-01,Poland,120214,6797,28148,99959,98863
2022-11-01,Italy,134818,13426,6927,143240,141317
2022-12-01,Netherlands,123525,23237,25553,125331,121209
2022-12-01,Germany,62464,13067,29136,45549,46395
2022-12-01,France,104422,27841,18104,109915,114159
2022-12-01,Poland,77924,14686,18592,76982,74018
2022-12-01,Italy,99234,11283,8801,103871,101716
2023-01-01,Netherlands,127772,24229,24220,123223,127781
2023-01-01,Germany,119270,5205,9582,119193,114893
2023-01-01,France,130138,15358,22385,124684,123111
2023-01-01,Poland,126018,29627,26855,127776,128790
2023-01-01,Italy,131602,10628,20272,117927,121958
2023-02-01,Netherlands,147078,7086,22844,128381,131320
2023-02-01,Germany,87002,10323,10077,92023,87248
2023-02-01,France,76605,25151,11833,91739,89923
2023-02-01,Poland,113554,7978,21832,100645,99700
2023-02-01,Italy,90836,7966,14471,88312,84331
2023-03-01,Netherlands,63063,14784,11928,64848,65919
2023-03-01,Germany,51339,26322,18267,60132,59394
2023-03-01,France,67648,21878,5810,79688,83716
2023-03-01,Poland,52519,6426,18804,38489,40141
2023-03-01,Italy,133992,5061,27601,112791,111452
2023-04-01,Netherlands,70017,29029,7411,95088,91635
2023-04-01,Germany,77915,25188,11912,94795,91191
2023-04-01,France,117104,26929,21295,121507,122738
2023-04-01,Poland,148251,14231,11128,151042,151354
2023-04-01,Italy,52378,6176,9116,52083,49438
2023-05-01,Netherlands,118961,25957,13305,134020,131613
2023-05-01,Germany,54588,13726,18309,54853,50005
2023-05-01,France,55873,11490,29539,40042,37824
2023-05-01,Poland,68798,16098,12533,68515,72363
2023-05-01,Italy,125045,27320,27863,125367,124502
2023-06-01,Netherlands,149757,7289,10853,146312,146193
2023-06-01,Germany,50357,10588,10645,45489,50300
2023-06-01,France,104711,16633,16479,107778,104865
2023-06-01,Poland,91426,20650,5767,105548,106309
2023-06-01,Italy,93610,18635,7456,105215,104789
2023-07-01,Netherlands,100438,11869,10644,99706,101663
2023-07-01,Germany,50740,16663,5687,59970,61716
2023-07-01,France,122206,7404,26226,100426,103384
2023-07-01,Poland,80041,23645,20028,85931,83658
2023-07-01,Italy,103344,26152,12841,115290,116655
2023-08-01,Netherlands,99578,22689,12524,113602,109743
2023-08-01,Germany,82942,11656,25881,72134,68717
2023-08-01,France,70206,13482,23977,62208,59711
2023-08-01,Poland,135948,5436,7401,137371,133983
2023-08-01,Italy,82871,28916,24497,88923,87290
2023-09-01,Netherlands,102529,10749,27946,81940,85332
2023-09-01,Germany,109971,12489,24680,101853,97780
2023-09-01,France,56360,24865,10279,75681,70946
2023-09-01,Poland,139270,9756,22952,125293,126074
2023-09-01,Italy,124519,10790,23818,109644,111491
